date,revid,content
2022-02-23,1073620027,The 2022 invasion of Ukraine was an entrance of the Russian Armed Forces to the Donbas region of Ukraine on 21 February 2022. The campaign started after a prolonged military buildup and the Russian recognition of the self-proclaimed Donetsk People's Republic and Luhansk People's Republic.
2022-02-24,1073698472,The 2022 invasion of Ukraine was an entrance of the Russian Armed Forces to the Donbas region of Ukraine on 21 February 2022. The campaign started after a prolonged military buildup and the Russian recognition of the self-proclaimed Donetsk People's Republic and Luhansk People's Republic.
2022-02-25,1073844010,"On 24 February 2022, Russia launched a large-scale invasion of Ukraine, its neighbour to the southwest, marking a major escalation of the RussoUkrainian War that had been ongoing since 2014. The campaign was preceded by a prolonged Russian military buildup since early 2021, and demands by Russia to legally prohibit Ukraine from joining NATO, an alliance of European states with the U.S. and Canada. The days prior to the invasion were marked by Russian recognition of two self-proclaimed Ukrainian states, the Donetsk People's Republic and the Luhansk People's Republic, and followed by the incursion of the Russian Armed Forces to the Donbas region of Eastern Ukraine on 21 February.
At about 03:00 UTC (06:00 Moscow Time, MSK) on 24 February, Russian president Vladimir Putin announced a military operation in eastern Ukraine; minutes later, missile strikes began at locations across Ukraine, including the capital Kyiv in the north. The Ukrainian Border Service stated that its border posts with Russia and Belarus were attacked. Two hours later, at around 05:00 UTC, Russian ground forces entered the country. Ukrainian president Volodymyr Zelenskyy responded by enacting martial law and severing diplomatic ties with Russia. Many countries condemned the attack and imposed sanctions on Russia."
2022-02-26,1074021010,"On 24 February 2022, Russia launched a large-scale invasion of Ukraine, its neighbour to the southwest, marking the largest escalation of the ongoing Russo-Ukrainian War that began in 2014. Russian President Vladimir Putin, claiming that post-1997 enlargement of NATO was a security threat, demanded that Ukraine be legally prohibited from joining the military alliance, and presented irredentist views. Beginning in early 2021, a prolonged Russian military build-up preceded the invasion. Days prior to the invasion, Russia recognised two self-proclaimed states within Ukraine's borders: the Donetsk People's Republic and the Luhansk People's Republic. On 21 February, the Russian Armed Forces entered the Donbas region in eastern Ukraine, and on 22 February, the Russian Federation Council unanimously authorised Putin to use military force outside Russia.
Around 05:00 EET (UTC+2) on 24 February, Putin announced a ""special military operation"" in eastern Ukraine; minutes later, missile strikes began at locations across Ukraine, including the capital, Kyiv. The Ukrainian Border Service stated that its border posts with Russia and Belarus were attacked. Two hours later, Russian ground forces entered the country. Ukrainian President Volodymyr Zelenskyy responded by enacting martial law, severing diplomatic ties with Russia and announcing general mobilisation. The invasion received widespread international condemnation, including sanctions being imposed on Russia, while anti-war protests in Russia were met with mass arrests."
2022-02-27,1074198063,"On 24 February 2022, Russia launched a large-scale invasion of Ukraine, its neighbour to the southwest, marking a dramatic escalation of the Russo-Ukrainian War that began in 2014.
The invasion was preceded by a Russian military build-up that started in early 2021, during which Russian president Vladimir Putin criticized NATO's post-1997 enlargement as a threat to his country's security and demanded that Ukraine be legally prohibited from joining the military alliance; he also expressed irredentist views. On 21 February 2022, Russia officially recognised the Donetsk People's Republic and the Luhansk People's Republic, two self-proclaimed states in the Donbas region of eastern Ukraine, and sent troops to the territories. The following day, the Russian Federation Council unanimously authorised Putin to use military force outside Russia's borders.
Around 05:00 EET (UTC+2) on 24 February, Putin announced a ""special military operation"" in eastern Ukraine; minutes later, missiles began to hit locations across Ukraine, including the capital, Kyiv. The Ukrainian Border Service said that its border posts with Russia and Belarus were attacked. Two hours later, Russian ground forces entered the country. Ukrainian president Volodymyr Zelenskyy responded by enacting martial law, severing diplomatic ties with Russia, and ordering general mobilisation. The invasion received widespread international condemnation, including new sanctions imposed on Russia, while anti-war protests in Russia were met with mass arrests.
The invasion has been described as the largest conventional military attack on European soil since World War II."
2022-02-28,1074382395,"On 24 February 2022, Russia launched a large-scale invasion of Ukraine, its neighbour to the southwest, marking a dramatic escalation of the Russo-Ukrainian War that began in 2014. It is the largest conventional warfare operation in Europe since World War II.
The invasion was preceded by a Russian military build-up that started in early 2021, during which Russian president Vladimir Putin criticised the post-1997 enlargement of NATO as a threat to his country's security and demanded that Ukraine be legally prohibited from joining the military alliance; he also expressed irredentist views. Despite the Russian military build-ups, Russian officials from 12 November 2021 to 20 February 2022 repeatedly denied that Russia had plans to invade Ukraine. On 21 February 2022, Russia officially recognised the Donetsk People's Republic and the Luhansk People's Republic, two self-proclaimed states in the Donbas region of eastern Ukraine, and sent troops to the territories. The following day, the Russian Federation Council unanimously authorised Putin to use military force outside Russia's borders.
Around 05:00 EET (UTC+2) on 24 February, Putin announced a ""special military operation"" in eastern Ukraine; minutes later, missiles began to hit locations across Ukraine, including the capital, Kyiv. The Ukrainian Border Service said that its border posts with Russia and Belarus were attacked. Two hours later, Russian ground forces entered the country. Ukrainian president Volodymyr Zelenskyy responded by enacting martial law, severing diplomatic ties with Russia, and ordering general mobilisation.
The invasion received widespread international condemnation, including new sanctions imposed on Russia. Global protests took place against the invasion, while protests in Russia were met with mass arrests. Both prior to and during the invasion, some of the 30 member states of NATO have been providing Ukraine with arms and other materiel support."
2022-03-01,1074577053,"On 24 February 2022, Russia launched a large-scale invasion of Ukraine, one of its neighbours to the southwest. Early reports declared it the largest conventional warfare operation in Europe since World War II. Following the Revolution of Dignity in 2014, Russia annexed Crimea and Russian-backed separatist forces seized part of the Donbas in eastern Ukraine, leading to an eight-year war in the region. It marked a major escalation between the countries, which had been in a state of conflict since 2014.
The invasion was preceded by Russian military build-ups around Ukraine's borders from early 2021. European countries accused Russia of planning an invasion, but Russian officials repeatedly denied this. During the crisis, Russian president Vladimir Putin condemned the post-1997 enlargement of NATO as a threat to his country's security and demanded Ukraine be barred from joining the military alliance. He also expressed irredentist views, questioned Ukraine's right to exist, and claimed Ukraine was wrongfully created by Soviet Russia. On 21 February 2022, Russia officially recognised the Donetsk and Luhansk people's republics, two self-proclaimed states controlled by pro-Russian forces in the Donbas. The following day, Russia's Federation Council unanimously authorised Putin to use military force outside Russia's borders, and Russia openly sent troops into the breakaway territories.
Around 05:00 EET (UTC+2) on 24 February, Putin announced a ""special military operation"" in eastern Ukraine; minutes later, missiles began to hit locations across Ukraine, including the capital, Kyiv. The State Border Guard Service of Ukraine said that its border posts with Russia and Belarus were attacked. Two hours later, Russian ground forces entered the country. Ukrainian president Volodymyr Zelenskyy responded by enacting martial law, severing diplomatic ties with Russia, and ordering general mobilisation.
The invasion received widespread international condemnation, including new sanctions imposed on Russia, triggering the 2022 Russian financial crisis. Global protests took place against the invasion, while protests in Russia were met with mass arrests. Both prior to and during the invasion, various Western nations have been providing Ukraine with arms and other materiel support. The slogan ""Glory to Ukraine!"" gained worldwide popularity as a symbol of resistance."
2022-03-02,1074749204,"On 24 February 2022, Russia launched a large-scale military invasion of Ukraine, one of its neighbours to the southwest, marking an escalation to a conflict that began in 2014. Following Ukraine's Revolution of Dignity in 2014, Russia had annexed Crimea and Russian-backed separatist forces had seized part of the Donbas in eastern Ukraine, leading to an eight-year war in the region. Some reports called the invasion the largest conventional warfare attack in Europe since World War II.
Starting early in 2021, Russia built up its military around Ukraine's borders with Russia and Belarus. The US and others accused Russia of planning an invasion, but Russian officials repeatedly issued denials. During the crisis, Russian president Vladimir Putin condemned the post-1997 enlargement of NATO as a threat to his country's security, a claim which NATO rejects, and demanded Ukraine be barred from ever joining the NATO military alliance. Putin and Kremlin officials expressed Russian irredentist views, and questioned Ukraine's right to sovereignty. Before the invasion, in an attempt to justify a causus belli, they accused Ukraine of genocide against Russian speakers in Ukraine, accusations that have been widely described as baseless.
On 21 February 2022, Russia officially recognised the Donetsk and Luhansk people's republics, two self-proclaimed states controlled by pro-Russian forces in the Donbas. The following day, Russia's Federation Council unanimously authorised Putin to use military force outside Russia's borders, and Russia openly sent troops into the breakaway territories. Around 05:00 EET (UTC+2) on 24 February, Putin announced a ""special military operation"" in eastern Ukraine; minutes later, missiles began to hit locations across Ukraine, including the capital, Kyiv. The State Border Guard Service of Ukraine said that its border posts with Russia and Belarus were attacked. Two hours later, Russian ground forces entered the country. Ukrainian president Volodymyr Zelenskyy responded by enacting martial law, severing diplomatic ties with Russia, and ordering general mobilisation.
The invasion received widespread international condemnation, including new sanctions imposed on Russia, triggering a financial crisis. Global protests took place against the invasion, while protests in Russia were met with mass arrests. Both prior to and during the invasion, various states have been providing Ukraine with foreign aid, including arms and other materiel support."
2022-03-03,1074933293,"On 24 February 2022, Russia launched a large-scale military invasion of Ukraine, one of its neighbours to the southwest, marking a major escalation to a conflict that began in 2014. Following Ukraine's Revolution of Dignity in 2014, Russia had annexed Crimea and Russian-backed separatist forces had seized part of the Donbas in eastern Ukraine, leading to an eight-year war in the region. Several officials and analysts called the invasion the largest conventional military attack in Europe since World War II.
From early 2021, there was a Russian military buildup around Ukraine's borders. The US and others accused Russia of planning an invasion, but Russian officials repeatedly issued denials. During the crisis, Russian president Vladimir Putin condemned the post-1997 enlargement of NATO as a threat to his country's security, a claim which NATO rejected, and demanded Ukraine be barred from ever joining NATO. Putin expressed Russian irredentist views, and questioned Ukraine's right to sovereignty. Before the invasion, in an attempt to provide a casus belli, Putin accused Ukraine of committing genocide against Russian speakers in Ukraine; accusations that were widely described as baseless.
On 21 February 2022, Russia officially recognised the Donetsk and Luhansk people's republics, two self-proclaimed states controlled by pro-Russian forces in the Donbas. The following day, Russia's Federation Council unanimously authorised Putin to use military force abroad, and Russia openly sent troops into the breakaway territories. Around 05:00 EET (UTC+2) on 24 February, Putin announced a ""special military operation"" in eastern Ukraine; minutes later, missiles began to hit locations across Ukraine, including the capital, Kyiv. The State Border Guard Service of Ukraine said that its border posts with Russia and Belarus were attacked. Two hours later, Russian ground forces entered the country. Ukrainian president Volodymyr Zelenskyy responded by enacting martial law, severing diplomatic ties with Russia, and ordering general mobilisation.
The invasion received widespread international condemnation, including new sanctions imposed on Russia, triggering a financial crisis. Global protests took place against the invasion, while protests in Russia were met with mass arrests. Both prior to and during the invasion, various states provided Ukraine with foreign aid, including arms and other materiel support."
2022-03-04,1075109904,"On 24 February 2022, Russia launched a large-scale military invasion of Ukraine, one of its neighbours to the southwest, marking a steep escalation to a conflict that began in 2014. Several officials and analysts called the invasion the largest conventional military attack in Europe since World War II.
Following Ukraine's Revolution of Dignity in 2014, Russia had annexed Crimea, while Russian-backed separatist forces had seized part of the Donbas in eastern Ukraine, leading to an eight-year war in the region. From early-2021, there was a Russian military buildup around the Russo-Ukrainian border. The US and others accused Russia of planning an invasion into Ukraine, but Russian officials repeatedly issued denials as recent as 20 February 2022. During the crisis, Russian president Vladimir Putin presented the post-1997 enlargement of NATO as a threat to his country's security, a claim which NATO rejected, and demanded Ukraine be barred from ever joining NATO. Putin expressed Russian irredentist views, and questioned Ukraine's right to statehood. Before the invasion, in an attempt to provide a casus belli, Putin accused Ukraine of committing genocide against Russian speakers in Ukraine; these accusations were widely described as baseless.
On 21 February 2022, Russia officially recognised the Donetsk People's Republic and Luhansk People's Republics, two self-proclaimed states controlled by pro-Russian separatist forces in the Donbas. The following day, Russia's Federation Council unanimously authorised Putin to use military force abroad, and Russian troops were openly sent into both territories. On 24 February, at around 05:00 EET (UTC+2), Putin announced a ""special military operation"", which according to him was aimed at the ""demilitarization"" and ""denazification"" of Ukraine. Minutes later, missiles began to hit locations across Ukraine, including the capital, Kyiv. The State Border Guard Service of Ukraine said that its border posts with Russia and Belarus were attacked. Two hours later, Russian Ground Forces entered the country. Ukrainian president Volodymyr Zelenskyy responded by enacting martial law, severing diplomatic ties with Russia, and ordering general mobilisation across the country.
The invasion received widespread international condemnation, including new sanctions imposed on Russia, triggering a financial crisis. Global protests took place against the invasion, while protests in Russia were met with mass arrests. Both prior to and during the invasion, various states provided foreign aid to Ukraine, including arms and other materiel support. In response, Putin placed Russia's nuclear forces on high alert.
According to the UN High Commissioner for Refugees (UNHCR), more than one million Ukrainians fled the country during the first week of the invasion, causing a refugee crisis across Europe."
